Seller Platform,Seller SKU,Manufacture,Manufacture Code,Product Title,Description,Packaging,Qty,Category,Subcategories,Product Page URL,Attachements,Image URL
AC Radio,UHF Liberty Repeater - NXDN 10 Watt,AC Radio,UHF Liberty Repeater - NXDN 10 Watt,UHF Liberty Repeater - NXDN 10 Watt," The NXDN Digital Liberty Repeater is the perfect wireless solution for on-site communication needs. Eliminate dead spots and intermittent coverage areas in industrial plants, K-12 schools, warehousing, and other “tough-to-cover” applications. No need to suffer from a lack of coverage! With 10 Watts of transmit power and the proper antenna, the NXDN Liberty Repeater can deliver rock solid digital communication for all types of compatible NXDN 2-way radios.Frequency Range: 450-470 MHz @6.25kHz Very NarrowbandConventional, NXDN Digital TechnologyFrequency Stability: +/- 1 ppm (-30 C to +50 C)Integrated Full Duplex Radio and Duplexer w/ ""N"" Type ConnectorPower ON, RX, and TX Transmit Indicator LEDsCapable of up to 10 RAN codesSupports (repeats) 6.25 KHz NXDN framesIncludes 4-cavity notch-type duplexer110VAC to 13.8VDC power supply12VDC back-up capableCompact size 2.125"" H X 8.0"" W X 5.75"" D & Lightweight: 3.5 lbsPC Programmable - manual tuning required for specific frequencyBuilt-In Mounting FlangesDesigned and Made in the USAUHF NXDN Digital Liberty Repeater
10 Watt Transmitter
Contact Sales Contact Support
The NXDN Digital Liberty Repeater is the perfect wireless solution for on-site communication needs. Eliminate dead spots and intermittent coverage areas in industrial plants, K-12 schools, warehousing, and other “tough-to-cover” applications. No need to suffer from a lack of coverage! With 10 Watts of transmit power and the proper antenna, the NXDN Liberty Repeater can deliver rock solid digital communication for all types of compatible NXDN 2-way radios.",,,Repeaters,,https://acradiocom.com/products/repeaters/uhf-liberty-repeater-nxdn-10-watt/,,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/ritron0604-1.png,https://acradiocom.com/images/detailed/1/ritron0619-1.png,https://acradiocom.com/images/detailed/1/ritron0624-1.png,https://acradiocom.com/images/detailed/1/ritron0626-1.png,https://acradiocom.com/images/thumbnails/55/55/detailed/1/ritron0604-1.png,https://acradiocom.com/images/thumbnails/55/55/detailed/1/ritron0619-1.png,https://acradiocom.com/images/thumbnails/55/55/detailed/1/ritron0624-1.png,https://acradiocom.com/images/thumbnails/55/55/detailed/1/ritron0626-1.png"
AC Radio,KBH-21W,AC Radio,KBH-21W,KBH-21W,Belt ClipBelt Clip,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/carrying-accessories/kbh-21w/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_kbh-21w.jpg"
AC Radio,KHS-37W,AC Radio,KHS-37W,KHS-37W,Headset (Ear-Hook)Headset (Ear-Hook),,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-37w/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_khs-37w.jpg"
AC Radio,NX-P1300NUK,AC Radio,NX-P1300NUK,NX-P1300NUK,"If you are thinking of harnessing our renowned NXDN digital protocol to enhance business efficiency or FM analog for its simplicity, KENWOOD ProTalk Digital NX-P1200NV and NX-P1300NU portable business radios have you covered. With mixed-mode operation to ensure seamless integration with legacy radios while smoothing the onward migration path to digital. But whatever your specific needs, audio quality is what determines clear voice communications – which is why KENWOOD radios are used under the most grueling conditions. Thanks to our extensive experience with professional systems, reliability is second to none. So whatever your radio requirements, KENWOOD ProTalk Digital NX-P1200NV and NX-P1300NU radios offer a single platform that’s right for you. It’s business done right!

If you are thinking of harnessing our renowned NXDN digital protocol to enhance business efficiency or FM analog for its simplicity, KENWOOD ProTalk Digital NX-P1200NV and NX-P1300NU portable business radios have you covered. With mixed-mode operation to ensure seamless integration with legacy radios while smoothing the onward migration path to digital. But whatever your specific needs, audio quality is what determines clear voice communications – which is why KENWOOD radios are used under the most grueling conditions. Thanks to our extensive experience with professional systems, reliability is second to none. So whatever your radio requirements, KENWOOD ProTalk Digital NX-P1200NV and NX-P1300NU radios offer a single platform that’s right for you. It’s business done right!
Note: Offers the ability to extend coverage with optional repeater(see NXR-710-810 for more information).",,,Two Way Radios,,https://acradiocom.com/products/two-way-radios/nx-p1300nuk/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/NX-P1200NV-P1300NU.jpg,https://acradiocom.com/images/detailed/1/NX1302_BRS_KRA42_LB.jpg,https://acradiocom.com/images/thumbnails/55/55/detailed/1/NX-P1200NV-P1300NU.jpg,https://acradiocom.com/images/thumbnails/55/55/detailed/1/NX1302_BRS_KRA42_LB.jpg,https://acradiocom.com/images/thumbnails/80/8/feature_variant/1/NEXEDGE_POSI.png,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KNB-45L.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KNB-69L-373x800.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KSC-43.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KSC-35SK.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KVC-22.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KRA-23-571x800.png,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KRA-27-838x800.png,https://acradiocom.com/images/thumbnails/250/250/detailed/1/accessory_kra-42.png,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KMC-45.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KHS-26.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KHS-27A-579x800.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/khs-31c-01-800x800.jpg,https://acradiocom.com/images/thumbnails/250/250/detailed/1/KBH-10.jpg"
AC Radio,EMC-13W,AC Radio,EMC-13W,EMC-13W,Clip Microphone Clip Microphone with Earphone (STD)Clip Microphone Clip Microphone with Earphone (STD),,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/emc-13w/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_emc-13w.jpg"
AC Radio,KNB-71L,AC Radio,KNB-71L,KNB-71L,1430 mAh Li-Ion up to 15 hours life @ 5-5-90 duty radioWorks with: PKT-23,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/knb-71l/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KNB-71L.jpg"
AC Radio,KHS-33,AC Radio,KHS-33,KHS-33,Earbud In-Line PTTSingle Pin JackLightweightCompatible with the PKT-23,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-33/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-33.jpg"
AC Radio,KMB-44K,AC Radio,KMB-44K,KMB-44K,Six Unit Charger Adapter for KSC-44KWorks with: PKT-23,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/kmb-44k/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KMB-44K.jpg"
AC Radio,KSC-50K,AC Radio,KSC-50K,KSC-50K,Rapid charger for NX-P500K two-way radiosRapid charger for NX-P500K two-way radios,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/ksc-50k/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_KSC-50K.jpg"
AC Radio,KBH-22W,AC Radio,KBH-22W,KBH-22W,Swivel Belt Clip HolsterSwivel Belt Clip Holster,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/carrying-accessories/kbh-22w/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_KBH-22W.png"
AC Radio,KHS-10BH,AC Radio,KHS-10BH,KHS-10BH,"Heavy-duty Behind-the-Ear Headset
",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-10bh/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-10-BH.jpg"
AC Radio,KHS-31C,AC Radio,KHS-31C,KHS-31C,Soft Rubber C-Ring Ear Hanger HeadsetLightweight and balanced to provide comfortable all day wearingIn-Line PTT with clothing clipWorks with all TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-31c/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/khs-31c-01-800x800.jpg"
AC Radio,KMB-506K,AC Radio,KMB-506K,KMB-506K,"6-Unit Multiple Charger/AC AdapterFor use with NX-P500K Two-Way Radios6-Unit Multiple Charger/AC Adapter
For use with NX-P500K Two-Way Radios",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/kmb-506k/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_ksc-506k.jpg"
AC Radio,KEP-2,AC Radio,KEP-2,KEP-2,2.5mm Earphone KitWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/kep-2/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KEP-2.jpg"
AC Radio,KLH-150,AC Radio,KLH-150,KLH-150,Nylon Case (black)Works with: TK-3230DX,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/carrying-accessories/klh-150/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KLH-150.jpg"
AC Radio,KRA-23,AC Radio,KRA-23,KRA-23,"UHF low profile antennaWorks with: TK-3300/3302/3400/3402, NX-340U16P, TK-3360ISU16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/antennas/kra-23/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KRA-23-571x800.png"
AC Radio,KMB-44MLKS,AC Radio,KMB-44MLKS,KMB-44MLKS,,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/kmb-44mlks/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KSC-44mlks.jpg"
AC Radio,KRA-26,AC Radio,KRA-26,KRA-26,"
VHF helical antenna Same as supplied with TK-2400 radio

Works with: TK-2300/2302/2400/2402, NX-240V16P, TK-2360ISV16P
",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/antennas/kra-26/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KRA-26-.png"
AC Radio,KHS-9BL,AC Radio,KHS-9BL,KHS-9BL,Behind-the-Head Lightweight HeadsetWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-9bl/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-9BL.jpg"
AC Radio,KHS-8BL,AC Radio,KHS-8BL,KHS-8BL,2-Wire Palm Mic. with EarphoneWorks with: all TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-8bl/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-8BL.jpg"
AC Radio,KHS-7A,AC Radio,KHS-7A,KHS-7A,Single Muff Headset with In-Line PTTWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-7a/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-7a.jpg"
AC Radio,KHS-27A,AC Radio,KHS-27A,KHS-27A,Compact Low-Profile Speaker MicrophoneWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-27a/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-27A-579x800.jpg"
AC Radio,KLH-187,AC Radio,KLH-187,KLH-187,"Nylon caseWorks with: TK-2300/3300, TK-2302/3302,
TK-2400/3400, TK-2402/3402, NX-240V16P/340U16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/carrying-accessories/klh-187/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KLH-187.jpg"
AC Radio,KHS-7,AC Radio,KHS-7,KHS-7,Single Muff HeadsetWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-7/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-7-1.jpg"
AC Radio,KBH-14,AC Radio,KBH-14,KBH-14,Spring action belt clip (same as provided w/radio)Works with: TK-3230DX,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/carrying-accessories/kbh-14/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KBH-14M.jpg"
AC Radio,KRA-27,AC Radio,KRA-27,KRA-27,"UHF whip antenna Same as supplied with TK-3400 radioWorks with: TK-3300/3302/3400/3402, NX-340U16P, TK-3360ISU16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/antennas/kra-27/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KRA-27-838x800.png"
AC Radio,KRA-22,AC Radio,KRA-22,KRA-22,"VHF low profile antennaWorks with: TK-2300/2302/2400/2402, NX-240V16P, TK-2360ISV16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/antennas/kra-22/,,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/kra-22-631x800.jpg"
AC Radio,KMC-45D,AC Radio,KMC-45D,KMC-45D,Speaker  MicrophoneWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/kmc-45d/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KMC-45.jpg"
AC Radio,KMC-21,AC Radio,KMC-21,KMC-21,Compact Low-Profile Speaker MicrophoneWorks with: All TK Models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/kmc-21/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KMC-21.jpg"
AC Radio,KMB-27AK,AC Radio,KMB-27AK,KMB-27AK,Multi-charger tray for TK-3230DX radios. Holds up to six KSC-37 charging cups (not included)Multi-charger tray for TK-3230DX radios. Holds up to six KSC-37 charging cups (not included),,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/kmb-27ak/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_kmb-27.jpg"
AC Radio,KSC-37S,AC Radio,KSC-37S,KSC-37S,Fast rate single unit charger for KNB-46L Li-Ion batteryWorks with: TK-3230DX,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/ksc-37s/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KSC-37.jpg"
AC Radio,KNB-46L,AC Radio,KNB-46L,KNB-46L,2000 mAh Li-Ion up to 22 hours life @ 5-5-90 duty radioWorks with: TK-3230DX,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/knb-46l/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KNB-46L.jpg"
AC Radio,KBH-20,AC Radio,KBH-20,KBH-20,Spring action belt clip (same as provided w/radio)Works with: PKT-23,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/carrying-accessories/kbh-20/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KBH-20M.jpg"
AC Radio,KBH-10,AC Radio,KBH-10,KBH-10,"Spring action belt clip (same as provided w/radio)Works with: TK-2300/3300, TK-2302/3302,
TK-2400/3400, TK-2402/3402, NX-240V16P/340U16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/carrying-accessories/klh-10/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KBH-10.jpg"
AC Radio,KHS-34,AC Radio,KHS-34,KHS-34,Soft Rubber C-Ring Ear LoopLightweight and balanced to provide comfortable all day wearingIn-Line PTTSingle Pin JackCompatible with the PKT-23Lightweight,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-34/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-34.jpg"
AC Radio,KRA-42,AC Radio,KRA-42,KRA-42,"UHF Stubby AntennaWorks with: TK-3300/3302/3400/3402, NX-340U16P, TK-3360ISU16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/antennas/kra-42/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_kra-42.png"
AC Radio,KRA-41,AC Radio,KRA-41,KRA-41,"VHF Stubby AntennaWorks with: TK-2300/2302/2400/2402, NX-240V16P, TK-2360ISV16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/antennas/kra-41/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/accessory_kra-41.png"
AC Radio,KSC-35SK,AC Radio,KSC-35SK,KSC-35SK,Fast Charger For the KNB-45L (3-Hour),,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/ksc-35sk/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KSC-35SK.jpg"
AC Radio,KMB-28,AC Radio,KMB-28,KMB-28,"Six Unit Charger Adapter for KSC-35SKWorks with: TK-2300/3300, TK-2302/3302,
TK-2400/3400, TK-2402/3402, NX-240V16P/340U16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/kmb-28/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KMB-28.jpg"
AC Radio,KSC-43K,AC Radio,KSC-43K,KSC-43K,"Six Unit Charger Adapter for KSC-35SKWorks with: TK-2300/3300, TK-2302/3302,
TK-2400/3400, TK-2402/3402, NX-240V16P/340U16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/ksc-43k/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KSC-43.jpg"
AC Radio,KNB-69L,AC Radio,KNB-69L,KNB-69L,"Li-ion Batter Pack (2,550mAh)Works with the TK2400/3400, TK-2402/3402, NX-240V16P/340U16P
",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/knb-69l/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KNB-69L-373x800.jpg"
AC Radio,KNB-45L,AC Radio,KNB-45L,KNB-45L,"2550 mAh Li-ion battery - requires KSC-35k/SK ChargerWorks with: TK-2402/3402, NX-240V16P/340U16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/knb-45l/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KNB-45L.jpg"
AC Radio,KNB-29N,AC Radio,KNB-29N,KNB-29N,"1500 mAh battery, NiMH (14 hours)Works with: TK-2300/3300, TK-2302/3302, TK-2400/3400, TK-2402/3402",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/knb-29n/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KNB-29N.jpg"
AC Radio,KVC-22,AC Radio,KVC-22,KVC-22,"Vehicle Charger Adapter For KSC-35SKWorks with: TK-2300/3300, TK-2302/3302,
TK-2400/3400, TK-2402/3402, NX-240V16P/340U16P",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/batteries-and-chargers/kvc-22/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KVC-22.jpg"
AC Radio,KHS-26,AC Radio,KHS-26,KHS-26,UHF D-Ring Ear Hanger w/PTT MicWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-26/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-26.jpg"
AC Radio,KHS-22A,AC Radio,KHS-22A,KHS-22A,Behind-the-Head Lightweight HeadsetWorks with: All TK models,,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-22a/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-22.jpg"
AC Radio,KHS-10OH,AC Radio,KHS-10OH,KHS-10OH,"Heavy-duty Over-the-Ear Headset
Heavy-duty Over-the-Ear Headset
",,,Radio Accessories,,https://acradiocom.com/products/radio-accessories/headsets-and-microphone/khs-10oh/,/images/companies/1/KENWOOD_Warranty_Statement_7-19.pdf,"https://acradiocom.com/images/logos/1/AC-RadioCom-logo_National_0rom-8y.png,https://acradiocom.com/images/detailed/1/KHS-10OH.jpg"
